170.500   -43.963 1981 05 22 2.25   6.7 04 27 58.40
170.297   -44.348 1981 05 29 2.02   7.8 21 57 17.09
170.547   -43.727 1981 06 05 2.85   2.8 08 32 12.48
172.800   -42.030 1981 06 10 4.18  12.0 02 09 13.49
173.610   -42.440 1981 06 11 4.29  33.0 14 31 19.54
171.650   -43.120 1981 06 13 3.77  12.0 05 51 38.73
171.730   -43.090 1981 06 13 3.30  12.0 12 09 43.83
170.593   -43.588 1981 06 15 2.82   5.3 11 55 58.60
171.850   -43.370 1981 06 21 2.67  12.0 10 12 46.00
170.659   -43.521 1981 06 24 2.21  12.8 20 29 57.53
170.567   -43.725 1981 07 01 2.26   0.6 19 21 12.26
170.703   -43.685 1981 07 08 2.21   4.2 00 10 33.85
170.611   -44.094 1981 07 08 2.72   7.8 12 11 48.08
170.618   -43.617 1981 07 09 2.46   5.2 03 41 19.60
173.730   -42.090 1981 07 15 3.32  18.0 07 14 55.70
170.533   -43.602 1981 07 16 2.07   1.1 10 45 49.91
170.053   -43.686 1981 07 18 3.15   5.2 02 41 30.60
170.042   -43.699 1981 07 18 2.05   6.8 04 51 38.83
170.296   -43.479 1981 07 22 3.40   2.3 08 52 40.11
170.648   -43.576 1981 08 07 2.70   5.9 08 33 34.61
170.390   -44.050 1981 08 08 3.85  12.0 06 37 32.01
170.452   -43.963 1981 08 09 2.21   5.4 01 23 57.70
170.450   -43.957 1981 08 09 2.11   5.4 15 44 33.66
170.432   -43.965 1981 08 11 2.04   5.0 08 05 44.85
170.316   -44.178 1981 08 14 2.08   6.1 22 54 55.78
170.431   -43.970 1981 08 18 2.10   4.6 18 17 41.43
170.443   -43.965 1981 08 24 2.04   3.9 04 47 24.74
170.441   -43.965 1981 08 24 2.39   4.3 05 14 38.67
170.767   -44.087 1981 08 25 2.03   0.7 04 49 17.65
170.693   -44.086 1981 08 25 2.27   2.3 05 29 02.28
172.370   -42.090 1981 08 28 3.77  12.0 15 13 19.05
170.451   -43.953 1981 09 05 2.45   5.9 16 47 15.55
172.830   -42.480 1981 09 06 3.35  12.0 05 22 09.90
170.464   -43.950 1981 09 10 2.04   8.0 11 19 44.06
170.712   -44.090 1981 09 10 2.19   6.5 23 31 44.82
170.181   -44.405 1981 09 15 2.50   6.7 22 38 14.94
172.880   -42.160 1981 09 16 4.32  33.0 22 14 45.39
171.700   -43.230 1981 09 19 3.77  12.0 17 01 50.60
170.420   -44.000 1981 09 20 3.29  10.0 19 22 36.80
170.460   -43.998 1981 09 20 2.04   5.3 19 23 51.31
172.520   -42.480 1981 09 22 3.47  12.0 20 05 09.77
170.635   -43.741 1981 10 01 3.22   2.9 01 57 49.14
170.256   -44.421 1981 10 04 2.62   6.6 19 07 00.72
170.182   -44.410 1981 10 05 2.17   5.9 07 53 30.10
171.440   -43.290 1981 10 06 3.66  12.0 02 35 23.20
170.608   -43.697 1981 10 11 2.67   1.8 20 39 42.89
170.445   -43.793 1981 10 15 3.11   4.8 21 44 54.90
170.469   -44.046 1981 10 21 2.12   4.4 03 55 44.05
170.496   -43.925 1981 10 22 2.59   7.9 03 13 54.05
170.636   -43.518 1981 10 24 2.81   0.0 07 19 06.74
170.668   -43.689 1981 10 24 2.01   1.7 23 20 24.47
170.353   -43.999 1981 10 30 2.06   5.0 23 21 16.06
170.605   -43.631 1981 11 08 2.48   4.4 00 21 00.02
170.635   -43.555 1981 11 11 2.21   4.3 14 46 43.50
170.727   -43.515 1981 11 16 2.46   4.2 09 05 08.49
170.503   -43.609 1981 11 18 2.77   4.4 16 41 05.88
170.670   -43.493 1981 11 21 2.19   4.7 16 53 02.60
170.687   -43.468 1981 11 22 2.23  13.8 14 00 24.74
170.673   -43.474 1981 11 22 2.23  19.9 16 50 15.28
170.588   -43.586 1981 11 22 2.10   6.5 20 12 38.52
170.036   -43.634 1981 11 23 2.29   2.7 22 22 09.06
170.497   -43.583 1981 11 24 2.90   2.9 03 15 21.40
170.491   -43.582 1981 11 24 2.23   5.4 04 13 06.18
170.004   -43.642 1981 11 24 2.17   1.2 18 38 33.07
170.093   -43.622 1981 11 27 2.29   1.7 23 10 04.10
170.005   -43.638 1981 12 06 2.04   1.7 16 29 14.09
170.462   -43.707 1981 12 06 2.15   0.9 16 30 46.48
170.598   -44.095 1981 12 07 2.28   4.7 15 10 00.80
170.460   -44.100 1981 12 09 3.73  12.0 11 20 35.60
173.120   -42.230 1981 12 10 4.02  33.0 01 48 51.19
170.068   -43.557 1981 12 16 3.11   0.0 06 22 50.98
173.170   -42.320 1981 12 18 3.58  12.0 20 44 16.30
171.140   -43.210 1981 12 24 3.79  12.0 21 30 15.40
170.401   -43.554 1981 12 25 2.62   1.7 00 11 11.63
170.685   -44.115 1981 12 26 2.90   3.3 11 48 17.80
170.569   -43.739 1982 01 03 2.32   1.7 04 44 11.85
170.320   -43.440 1982 01 14 4.27  12.0 05 49 02.40
170.158   -43.709 1982 01 24 2.51   2.8 04 15 43.92
170.200   -43.634 1982 01 26 2.05   0.0 12 31 04.59
170.190   -43.580 1982 01 26 2.59   0.0 18 49 09.72
170.204   -43.602 1982 01 27 2.24   0.0 00 48 55.78
170.198   -43.646 1982 01 27 2.31   0.0 06 57 20.01
170.158   -43.565 1982 01 27 2.39   1.7 17 43 03.07
170.558   -43.938 1982 01 31 2.07  11.2 00 49 24.09
170.277   -44.403 1982 02 01 2.22   7.7 15 40 11.95
170.270   -44.402 1982 02 01 2.21   7.1 15 53 25.38
173.840   -42.180 1982 02 04 3.62  33.0 04 11 55.32
173.820   -42.180 1982 02 04 4.44  33.0 04 14 16.21
170.336   -44.229 1982 02 07 2.08   7.7 18 27 38.08
171.530   -43.250 1982 02 26 3.51  12.0 01 12 52.28
170.195   -44.151 1982 02 26 2.17   9.0 22 25 48.61
170.287   -43.466 1982 03 04 2.68   1.7 19 52 37.49
170.816   -43.866 1982 03 10 2.72   6.4 23 52 43.11
172.600   -42.610 1982 03 11 3.30  12.0 17 06 01.27
170.052   -43.759 1982 03 14 2.33   1.1 05 22 46.53
171.760   -42.940 1982 03 14 3.98  12.0 08 31 26.55
171.790   -42.900 1982 03 14 4.51  12.0 11 02 36.02
173.780   -42.020 1982 03 17 3.33  12.0 23 21 44.14
170.342   -43.471 1982 03 30 2.61   1.7 00 40 21.39
170.330   -43.490 1982 03 30 2.32   1.7 01 01 54.07
170.402   -43.455 1982 03 31 2.23   1.7 04 38 03.61
170.042   -43.743 1982 04 03 2.85   1.7 12 41 20.60
170.606   -43.548 1982 04 03 2.17   1.7 17 52 08.96
170.732   -43.685 1982 04 10 2.53   1.7 21 03 46.61
170.680   -43.981 1982 04 15 2.25   7.6 01 43 21.14
170.077   -44.353 1982 04 17 2.39   6.7 04 58 26.53
170.296   -43.433 1982 04 19 2.22   9.6 19 55 21.03
171.820   -43.550 1982 05 03 3.26  33.0 10 51 12.64
172.520   -43.430 1982 05 05 3.30  12.0 21 00 38.64
170.191   -43.450 1982 05 14 3.34   1.7 21 23 29.90
171.660   -43.540 1982 05 21 3.48  12.0 01 31 56.78
170.016   -44.514 1982 05 23 2.19   3.4 00 23 45.99
171.340   -43.270 1982 06 05 4.88  12.0 03 48 46.90
171.300   -43.200 1982 06 05 3.68  12.0 08 53 37.59
171.340   -43.200 1982 06 05 3.57  12.0 09 54 01.70
171.320   -43.260 1982 06 05 4.09  12.0 21 48 40.56
170.186   -43.658 1982 06 07 2.64   1.7 02 32 28.38
170.724   -44.082 1982 06 09 2.03   1.7 10 53 10.96
171.110   -43.150 1982 06 09 3.57  12.0 21 50 19.92
170.021   -44.152 1982 06 14 2.11   3.7 21 11 54.34
170.765   -43.966 1982 06 16 2.88  39.4 02 28 17.99
170.668   -44.090 1982 06 16 2.11   9.6 02 50 30.39
170.542   -44.082 1982 06 17 2.31   3.2 03 30 44.87
170.805   -43.329 1982 06 22 2.75   9.6 07 07 03.96
170.016   -44.149 1982 06 23 2.37   4.1 12 48 20.78
172.760   -42.430 1982 06 26 3.48  12.0 16 18 29.12
171.640   -42.890 1982 06 26 4.34  12.0 21 19 46.16
174.030   -42.013 1982 07 03 3.25  39.3 02 37 58.59
170.890   -42.870 1982 07 12 3.76  12.0 23 39 05.22
170.790   -43.820 1982 07 13 2.87   0.9 02 05 30.87
171.830   -42.610 1982 07 14 4.39  12.0 14 48 20.44
171.540   -43.590 1982 07 17 3.75  33.0 09 44 00.98
170.003   -44.006 1982 07 28 2.32   2.0 23 52 59.10
170.108   -44.447 1982 08 08 2.62   6.4 02 35 15.51
170.575   -43.763 1982 08 08 2.64   0.3 22 01 21.63
170.508   -43.496 1982 08 10 2.27   3.7 00 16 47.92
170.537   -43.555 1982 08 10 2.26   1.7 05 47 46.76
170.591   -44.295 1982 08 10 2.09   7.3 09 10 19.57
170.249   -43.546 1982 08 11 3.34   1.7 14 05 10.58
170.608   -43.486 1982 08 11 2.53   6.8 19 40 28.20
170.263   -43.542 1982 08 11 2.42   1.7 20 07 28.77
170.261   -43.544 1982 08 11 2.12   1.7 22 07 46.49
170.651   -43.677 1982 08 14 2.48   7.5 05 01 39.05
170.675   -44.305 1982 08 16 2.35   3.2 09 34 10.21
170.860   -43.650 1982 08 17 3.52  12.0 13 55 49.77
170.632   -43.536 1982 08 19 2.53   2.3 01 49 36.72
170.549   -43.619 1982 08 21 2.31   0.7 01 14 15.47
170.204   -43.542 1982 08 24 2.41   1.7 04 58 11.23
170.192   -43.589 1982 09 02 2.17   1.7 21 53 27.54
170.845   -43.404 1982 09 04 3.23   9.6 09 46 56.89
170.194   -43.600 1982 09 05 2.26   2.2 23 05 26.12
170.161   -43.616 1982 09 08 2.10   1.7 18 09 00.38
170.670   -43.840 1982 09 09 3.64  25.0 10 19 33.59
170.177   -43.644 1982 09 09 2.42   1.7 11 33 19.59
170.186   -43.593 1982 09 09 2.29   1.7 13 17 33.77
170.192   -43.588 1982 09 09 2.44   1.7 22 23 54.56
170.216   -43.608 1982 09 11 2.31   1.4 22 16 23.13
170.552   -43.597 1982 09 18 2.54   9.6 23 04 17.66
170.619   -43.560 1982 09 23 2.04  20.7 10 53 35.25
170.630   -43.556 1982 09 23 2.62   4.5 17 19 01.97
171.720   -43.310 1982 09 25 4.00  12.0 18 26 34.50
170.842   -43.806 1982 09 29 2.17   1.7 06 41 45.19
172.900   -42.590 1982 09 30 3.81  12.0 01 28 29.21
171.100   -42.730 1982 09 30 3.49  12.0 12 55 23.73
170.180   -43.606 1982 10 01 2.09   0.5 02 33 32.78
170.348   -43.980 1982 10 03 2.02   4.4 01 57 31.75
170.278   -44.410 1982 10 05 2.40   7.3 02 06 35.12
171.660   -43.490 1982 10 17 2.80  12.0 15 12 45.72
170.530   -43.350 1982 10 23 4.02  12.0 08 39 51.90
170.494   -43.564 1982 10 27 2.19   1.9 10 31 30.60
170.452   -44.008 1982 10 29 2.46   3.4 17 58 30.70
170.187   -43.608 1982 11 14 2.30   1.7 10 50 00.87
170.346   -43.504 1982 11 14 2.24   9.6 15 40 01.73
170.252   -43.491 1982 11 15 2.24   2.8 22 11 32.39
170.590   -44.320 1982 11 17 3.77  12.0 17 15 56.19
170.207   -43.577 1982 11 19 2.29   1.7 05 04 01.77
170.162   -43.583 1982 11 20 2.05   1.7 01 41 36.59
170.165   -43.579 1982 11 25 2.37   5.1 21 51 04.19
170.186   -43.574 1982 11 26 2.17   1.1 06 22 23.86
170.182   -43.568 1982 11 26 2.37   0.0 21 02 25.82
170.623   -43.548 1982 12 05 2.31   9.6 02 42 56.99
173.190   -43.160 1982 12 05 2.96  33.0 23 55 17.41
173.220   -42.960 1982 12 06 3.69  33.0 02 40 54.40
170.669   -43.713 1982 12 13 2.31   3.0 16 01 04.85
171.000   -42.700 1982 12 14 2.10  12.0 03 59 16.22
170.388   -44.020 1982 12 23 2.27   5.1 19 17 31.22
171.820   -43.150 1982 12 24 3.49  12.0 01 52 22.43
171.690   -43.120 1983 01 09 3.52  12.0 14 52 26.21
173.900   -42.560 1983 01 13 3.80   5.0 00 12 36.85
171.410   -43.000 1983 01 14 3.50  12.0 03 43 43.01
170.630   -43.660 1983 01 14 3.42  12.0 23 04 48.93
171.060   -43.260 1983 01 16 3.68  33.0 17 17 53.30
171.530   -43.000 1983 01 18 4.07  33.0 01 05 37.92
170.035   -44.424 1983 01 21 2.58   6.7 06 59 15.45
170.505   -43.610 1983 01 23 2.39   4.8 07 47 06.26
170.555   -43.515 1983 01 23 2.55   9.6 17 59 10.46
172.830   -42.270 1983 01 27 4.14  33.0 11 33 08.50
174.460   -43.120 1983 02 06 3.54  33.0 06 58 51.66
170.257   -43.541 1983 02 11 2.43   1.7 06 58 28.79
170.257   -43.543 1983 02 11 2.00   1.7 21 22 31.18
170.256   -43.502 1983 02 13 2.29   0.4 09 23 18.84
170.488   -43.752 1983 02 14 2.04   4.5 00 12 58.39
170.518   -43.748 1983 02 15 2.92   4.9 00 14 45.06
171.920   -43.150 1983 02 22 3.40  33.0 12 25 03.73
174.010   -42.070 1983 02 23 3.55  12.0 00 09 51.13
174.170   -42.100 1983 02 23 2.76  12.0 03 53 09.88
170.583   -44.328 1983 03 08 2.11   5.0 04 03 46.78
173.530   -42.890 1983 03 10 3.81  33.0 16 09 42.62
172.260   -43.010 1983 03 23 3.74  12.0 04 00 43.46
170.607   -43.640 1983 03 26 2.58   1.7 06 20 06.50
172.010   -42.020 1983 03 27 3.77  12.0 16 03 22.10
170.470   -44.235 1983 03 31 2.43   6.5 21 34 13.81
170.296   -43.553 1983 04 06 2.21   3.5 01 08 50.59
170.278   -43.486 1983 04 11 2.50   1.7 19 21 47.77
170.525   -43.515 1983 04 13 2.61   1.4 16 12 50.61
170.202   -43.527 1983 04 13 2.10   1.7 17 01 10.88
170.666   -43.530 1983 04 20 2.51   9.6 02 20 43.18
172.910   -42.150 1983 04 23 3.49  12.0 20 17 53.65
170.208   -43.507 1983 05 07 2.87   0.0 15 51 02.40
170.192   -43.491 1983 05 07 2.63   1.7 20 12 34.41
170.250   -43.534 1983 05 08 2.36   0.0 00 15 48.20
170.200   -43.513 1983 05 08 2.23   0.0 01 20 51.64
170.499   -44.249 1983 05 08 2.37   1.2 20 20 34.16
170.241   -43.528 1983 05 10 2.52   0.0 05 00 09.85
170.245   -43.529 1983 05 10 2.60   0.0 07 26 10.17
170.199   -43.591 1983 05 10 2.20   0.0 11 19 26.43
170.498   -43.496 1983 05 10 2.86   2.1 14 53 36.33
171.580   -43.150 1983 05 15 4.81  12.0 01 58 38.41
171.580   -43.150 1983 05 15 3.85  12.0 02 07 19.60
171.630   -43.140 1983 05 15 3.36  12.0 03 31 05.96
171.610   -43.150 1983 05 15 3.86  12.0 07 52 15.50
170.472   -43.635 1983 05 19 2.15   4.3 00 53 10.08
172.760   -42.320 1983 05 25 3.77  12.0 12 39 07.73
172.930   -42.430 1983 05 26 3.50  12.0 13 16 41.03
170.400   -43.752 1983 06 12 2.30   5.4 18 32 24.83
170.670   -43.680 1983 06 18 3.57  12.0 09 10 41.11
172.220   -43.390 1983 06 21 3.48  33.0 07 59 54.81
174.320   -42.900 1983 06 25 4.33  33.0 10 16 56.30
171.790   -43.300 1983 07 08 3.60  33.0 16 02 29.33
170.081   -43.447 1983 07 10 2.36   1.7 01 56 43.94
170.203   -43.539 1983 07 19 2.61   0.0 05 02 58.72
170.109   -43.803 1983 07 19 2.18   4.8 11 09 22.11
170.498   -44.009 1983 08 02 2.24   5.9 14 00 07.45
170.084   -44.127 1983 08 03 2.11   1.0 00 15 26.95
173.060   -42.090 1983 08 07 4.31  12.0 10 29 53.05
170.594   -43.917 1983 08 10 2.01   8.3 09 55 51.39
171.490   -42.070 1983 08 22 4.10  12.0 07 01 52.51
171.150   -43.550 1983 08 23 4.03  33.0 03 48 35.90
170.305   -44.382 1983 08 29 2.02   5.8 17 11 14.74
171.530   -42.930 1983 08 31 3.76  12.0 09 34 32.92
170.596   -43.884 1983 09 01 2.20   1.7 15 12 01.65
170.072   -43.589 1983 09 02 2.76   1.7 13 05 32.34
170.071   -43.572 1983 09 02 2.58   1.7 21 27 23.86
173.600   -42.220 1983 09 04 3.46  33.0 22 32 53.50
174.237   -42.005 1983 09 07 2.80  27.9 03 57 53.31
171.530   -42.760 1983 09 08 3.41  12.0 08 23 08.81
171.490   -42.770 1983 09 08 4.16  12.0 08 31 31.33
173.210   -43.200 1983 09 21 4.02  33.0 18 24 26.45
170.576   -44.022 1983 09 27 2.25   2.1 16 12 01.48
170.458   -43.966 1983 10 04 2.14   5.3 21 59 28.73
170.551   -43.560 1983 10 09 2.36   4.2 06 41 24.76
172.640   -42.240 1983 10 14 3.97  12.0 02 53 15.28
170.055   -44.527 1983 10 14 2.27   4.4 20 03 50.67
170.208   -43.575 1983 10 21 2.39   1.7 08 48 04.36
170.449   -43.684 1983 10 22 2.63   4.5 08 26 04.05
170.341   -43.517 1983 10 24 2.08   3.4 06 39 02.63
170.323   -43.538 1983 10 24 2.42   0.4 06 44 23.38
173.790   -42.470 1983 10 26 3.97  30.0 01 27 48.23
170.365   -44.025 1983 10 26 2.01   6.5 04 58 53.91
170.365   -43.518 1983 10 26 3.12   1.7 06 19 44.18
170.353   -43.482 1983 10 26 3.36   1.7 06 36 27.80
170.321   -43.530 1983 10 26 3.06   1.7 06 43 32.04
170.326   -43.530 1983 10 26 2.89   1.7 07 00 12.73
170.325   -43.531 1983 10 26 2.20   1.7 07 15 17.47
170.334   -43.507 1983 10 26 2.81   1.7 07 15 20.65
170.285   -43.598 1983 10 26 2.28   5.3 07 16 42.42
170.321   -43.505 1983 10 26 2.25   1.7 07 16 42.93
170.350   -43.480 1983 10 26 2.20   1.7 07 16 51.89
170.345   -43.451 1983 10 26 2.34   1.7 07 18 41.86
170.357   -43.426 1983 10 26 2.06   0.0 07 20 27.62
170.346   -43.487 1983 10 26 2.97   1.7 07 23 56.41
170.329   -43.516 1983 10 26 2.08   1.7 07 36 31.87
170.341   -43.496 1983 10 26 2.08   1.7 07 36 33.12
170.333   -43.514 1983 10 26 2.13   1.7 08 29 09.13
170.310   -43.511 1983 10 26 2.24   1.7 08 29 11.03
170.329   -43.503 1983 10 26 2.51   1.7 08 29 11.67
170.339   -43.481 1983 10 26 2.24   0.5 11 20 37.82
170.341   -43.492 1983 10 26 2.44   1.7 13 04 54.46
170.363   -43.510 1983 10 26 2.26   1.5 19 05 54.34
170.350   -43.425 1983 10 29 2.19   1.7 11 47 17.75
171.013   -43.956 1983 10 29 3.33  31.7 19 16 37.26
171.430   -43.320 1983 11 01 2.90  12.0 09 57 18.70
170.312   -43.539 1983 11 03 2.44   1.7 16 28 45.77
170.292   -43.450 1983 11 05 2.08   2.6 11 32 46.26
170.329   -43.468 1983 11 05 2.57   1.1 11 32 57.02
170.334   -43.487 1983 11 05 3.06   2.3 11 34 41.72
170.321   -43.493 1983 11 05 2.28   2.2 11 35 57.89
170.327   -43.448 1983 11 05 2.36   1.7 11 36 07.86
170.313   -43.528 1983 11 05 2.21   1.6 13 49 53.50
170.210   -43.573 1983 11 18 2.55   1.7 06 29 29.46
170.184   -43.564 1983 11 19 2.33   1.7 00 10 52.85
173.670   -42.850 1983 11 20 4.55  33.0 11 27 56.38
170.230   -44.060 1983 11 27 3.52  12.0 07 51 09.05
